"","color","rank","hex"
"1","purple",1,"#7e1e9c"
"2","green",2,"#15b01a"
"3","blue",3,"#0343df"
"4","pink",4,"#ff81c0"
"5","brown",5,"#653700"
"6","red",6,"#e50000"
"7","light blue",7,"#95d0fc"
"8","teal",8,"#029386"
"9","orange",9,"#f97306"
"10","light green",10,"#96f97b"
"11","magenta",11,"#c20078"
"12","yellow",12,"#ffff14"
"13","sky blue",13,"#75bbfd"
"14","grey",14,"#929591"
"15","lime green",15,"#89fe05"
"16","light purple",16,"#bf77f6"
"17","violet",17,"#9a0eea"
"18","dark green",18,"#033500"
"19","turquoise",19,"#06c2ac"
"20","lavender",20,"#c79fef"
"21","dark blue",21,"#00035b"
"22","tan",22,"#d1b26f"
"23","cyan",23,"#00ffff"
"24","aqua",24,"#13eac9"
"25","forest green",25,"#06470c"
"26","mauve",26,"#ae7181"
"27","dark purple",27,"#35063e"
"28","bright green",28,"#01ff07"
"29","maroon",29,"#650021"
"30","olive",30,"#6e750e"
"31","salmon",31,"#ff796c"
"32","beige",32,"#e6daa6"
"33","royal blue",33,"#0504aa"
"34","navy blue",34,"#001146"
"35","lilac",35,"#cea2fd"
"36","black",36,"#000000"
"37","hot pink",37,"#ff028d"
"38","light brown",38,"#ad8150"
"39","pale green",39,"#c7fdb5"
"40","peach",40,"#ffb07c"
"41","olive green",41,"#677a04"
"42","dark pink",42,"#cb416b"
"43","periwinkle",43,"#8e82fe"
"44","sea green",44,"#53fca1"
"45","lime",45,"#aaff32"
"46","indigo",46,"#380282"
"47","mustard",47,"#ceb301"
"48","light pink",48,"#ffd1df"
"49","rose",49,"#cf6275"
"50","bright blue",50,"#0165fc"
"51","neon green",51,"#0cff0c"
"52","burnt orange",52,"#c04e01"
"53","aquamarine",53,"#04d8b2"
"54","navy",54,"#01153e"
"55","grass green",55,"#3f9b0b"
"56","pale blue",56,"#d0fefe"
"57","dark red",57,"#840000"
"58","bright purple",58,"#be03fd"
"59","yellow green",59,"#c0fb2d"
"60","baby blue",60,"#a2cffe"
"61","gold",61,"#dbb40c"
"62","mint green",62,"#8fff9f"
"63","plum",63,"#580f41"
"64","royal purple",64,"#4b006e"
"65","brick red",65,"#8f1402"
"66","dark teal",66,"#014d4e"
"67","burgundy",67,"#610023"
"68","khaki",68,"#aaa662"
"69","blue green",69,"#137e6d"
"70","seafoam green",70,"#7af9ab"
"71","kelly green",71,"#02ab2e"
"72","puke green",72,"#9aae07"
"73","pea green",73,"#8eab12"
"74","taupe",74,"#b9a281"
"75","dark brown",75,"#341c02"
"76","deep purple",76,"#36013f"
"77","chartreuse",77,"#c1f80a"
"78","bright pink",78,"#fe01b1"
"79","light orange",79,"#fdaa48"
"80","mint",80,"#9ffeb0"
"81","pastel green",81,"#b0ff9d"
"82","sand",82,"#e2ca76"
"83","dark orange",83,"#c65102"
"84","spring green",84,"#a9f971"
"85","puce",85,"#a57e52"
"86","seafoam",86,"#80f9ad"
"87","grey blue",87,"#6b8ba4"
"88","army green",88,"#4b5d16"
"89","dark grey",89,"#363737"
"90","dark yellow",90,"#d5b60a"
"91","goldenrod",91,"#fac205"
"92","slate",92,"#516572"
"93","light teal",93,"#90e4c1"
"94","rust",94,"#a83c09"
"95","deep blue",95,"#040273"
"96","pale pink",96,"#ffcfdc"
"97","cerulean",97,"#0485d1"
"98","light red",98,"#ff474c"
"99","mustard yellow",99,"#d2bd0a"
"100","ochre",100,"#bf9005"
"101","pale yellow",101,"#ffff84"
"102","crimson",102,"#8c000f"
"103","fuchsia",103,"#ed0dd9"
"104","hunter green",104,"#0b4008"
"105","blue grey",105,"#607c8e"
"106","slate blue",106,"#5b7c99"
"107","pale purple",107,"#b790d4"
"108","sea blue",108,"#047495"
"109","pinkish purple",109,"#d648d7"
"110","puke",110,"#a5a502"
"111","light grey",111,"#d8dcd6"
"112","leaf green",112,"#5ca904"
"113","light yellow",113,"#fffe7a"
"114","eggplant",114,"#380835"
"115","steel blue",115,"#5a7d9a"
"116","moss green",116,"#658b38"
"117","robin's egg blue",117,"#98eff9"
"118","white",118,"#ffffff"
"119","grey green",119,"#789b73"
"120","sage",120,"#87ae73"
"121","brick",121,"#a03623"
"122","burnt sienna",122,"#b04e0f"
"123","reddish brown",123,"#7f2b0a"
"124","cream",124,"#ffffc2"
"125","coral",125,"#fc5a50"
"126","ocean blue",126,"#03719c"
"127","greenish",127,"#40a368"
"128","dark magenta",128,"#960056"
"129","red orange",129,"#fd3c06"
"130","bluish purple",130,"#703be7"
"131","midnight blue",131,"#020035"
"132","light violet",132,"#d6b4fc"
"133","dusty rose",133,"#c0737a"
"134","medium blue",134,"#2c6fbb"
"135","greenish yellow",135,"#cdfd02"
"136","yellowish green",136,"#b0dd16"
"137","purplish blue",137,"#601ef9"
"138","greyish blue",138,"#5e819d"
"139","grape",139,"#6c3461"
"140","light olive",140,"#acbf69"
"141","cornflower blue",141,"#5170d7"
"142","pinkish red",142,"#f10c45"
"143","bright red",143,"#ff000d"
"144","azure",144,"#069af3"
"145","blue purple",145,"#5729ce"
"146","dark turquoise",146,"#045c5a"
"147","electric blue",147,"#0652ff"
"148","off white",148,"#ffffe4"
"149","powder blue",149,"#b1d1fc"
"150","wine",150,"#80013f"
"151","dull green",151,"#74a662"
"152","apple green",152,"#76cd26"
"153","light turquoise",153,"#7ef4cc"
"154","neon purple",154,"#bc13fe"
"155","cobalt",155,"#1e488f"
"156","pinkish",156,"#d46a7e"
"157","olive drab",157,"#6f7632"
"158","dark cyan",158,"#0a888a"
"159","purple blue",159,"#632de9"
"160","dark violet",160,"#34013f"
"161","dark lavender",161,"#856798"
"162","forrest green",162,"#154406"
"163","vomit",163,"#a2a415"
"164","pale orange",164,"#ffa756"
"165","greenish blue",165,"#0b8b87"
"166","dark tan",166,"#af884a"
"167","green blue",167,"#06b48b"
"168","bluish green",168,"#10a674"
"169","pastel blue",169,"#a2bffe"
"170","moss",170,"#769958"
"171","grass",171,"#5cac2d"
"172","deep pink",172,"#cb0162"
"173","blood red",173,"#980002"
"174","sage green",174,"#88b378"
"175","aqua blue",175,"#02d8e9"
"176","terracotta",176,"#ca6641"
"177","pastel purple",177,"#caa0ff"
"178","sienna",178,"#a9561e"
"179","dark olive",179,"#373e02"
"180","green yellow",180,"#c9ff27"
"181","scarlet",181,"#be0119"
"182","greyish green",182,"#82a67d"
"183","chocolate",183,"#3d1c02"
"184","blue violet",184,"#5d06e9"
"185","cornflower",185,"#6a79f7"
"186","baby pink",186,"#ffb7ce"
"187","charcoal",187,"#343837"
"188","pine green",188,"#0a481e"
"189","pumpkin",189,"#e17701"
"190","greenish brown",190,"#696112"
"191","red brown",191,"#8b2e16"
"192","brownish green",192,"#6a6e09"
"193","tangerine",193,"#ff9408"
"194","salmon pink",194,"#fe7b7c"
"195","aqua green",195,"#12e193"
"196","raspberry",196,"#b00149"
"197","greyish purple",197,"#887191"
"198","rose pink",198,"#f7879a"
"199","neon pink",199,"#fe019a"
"200","cobalt blue",200,"#030aa7"
"201","orange brown",201,"#be6400"
"202","deep red",202,"#9a0200"
"203","orange red",203,"#fd411e"
"204","dirty yellow",204,"#cdc50a"
"205","orchid",205,"#c875c4"
"206","reddish pink",206,"#fe2c54"
"207","reddish purple",207,"#910951"
"208","yellow orange",208,"#fcb001"
"209","light cyan",209,"#acfffc"
"210","sky",210,"#82cafc"
"211","light magenta",211,"#fa5ff7"
"212","pale red",212,"#d9544d"
"213","emerald",213,"#01a049"
"214","dark beige",214,"#ac9362"
"215","ugly green",215,"#7a9703"
"216","jade",216,"#1fa774"
"217","greenish grey",217,"#96ae8d"
"218","dark salmon",218,"#c85a53"
"219","purplish pink",219,"#ce5dae"
"220","dark aqua",220,"#05696b"
"221","brownish orange",221,"#cb7723"
"222","light olive green",222,"#a4be5c"
"223","light aqua",223,"#8cffdb"
"224","clay",224,"#b66a50"
"225","medium green",225,"#39ad48"
"226","burnt umber",226,"#a0450e"
"227","dull blue",227,"#49759c"
"228","pale brown",228,"#b1916e"
"229","emerald green",229,"#028f1e"
"230","brownish",230,"#9c6d57"
"231","mud",231,"#735c12"
"232","dark rose",232,"#b5485d"
"233","brownish red",233,"#9e3623"
"234","pink purple",234,"#db4bda"
"235","pinky purple",235,"#c94cbe"
"236","camo green",236,"#526525"
"237","faded green",237,"#7bb274"
"238","dusty pink",238,"#d58a94"
"239","purple pink",239,"#e03fd8"
"240","vomit green",240,"#89a203"
"241","deep green",241,"#02590f"
"242","reddish orange",242,"#f8481c"
"243","mahogany",243,"#4a0100"
"244","aubergine",244,"#3d0734"
"245","dull pink",245,"#d5869d"
"246","evergreen",246,"#05472a"
"247","dark sky blue",247,"#448ee4"
"248","very light green",248,"#d1ffbd"
"249","pastel pink",249,"#ffbacd"
"250","grey purple",250,"#826d8c"
"251","very light blue",251,"#d5ffff"
"252","dark mauve",252,"#874c62"
"253","cadet blue",253,"#4e7496"
"254","ice blue",254,"#d7fffe"
"255","light tan",255,"#fbeeac"
"256","dirty green",256,"#667e2c"
"257","neon blue",257,"#04d9ff"
"258","wine red",258,"#7b0323"
"259","chocolate brown",259,"#411900"
"260","dull purple",260,"#84597e"
"261","yellow brown",261,"#b79400"
"262","denim",262,"#3b638c"
"263","eggshell",263,"#ffffd4"
"264","jungle green",264,"#048243"
"265","dark peach",265,"#de7e5d"
"266","poop",266,"#7f5e00"
"267","umber",267,"#b26400"
"268","light lavender",268,"#dfc5fe"
"269","bright yellow",269,"#fffd01"
"270","golden yellow",270,"#fec615"
"271","dusty blue",271,"#5a86ad"
"272","electric green",272,"#21fc0d"
"273","lighter green",273,"#75fd63"
"274","slate grey",274,"#59656d"
"275","teal green",275,"#25a36f"
"276","marine blue",276,"#01386a"
"277","avocado",277,"#90b134"
"278","terra cotta",278,"#c9643b"
"279","dusty purple",279,"#825f87"
"280","light maroon",280,"#a24857"
"281","reddish",281,"#c44240"
"282","dark lilac",282,"#9c6da5"
"283","dark periwinkle",283,"#665fd1"
"284","bluish grey",284,"#748b97"
"285","puke yellow",285,"#c2be0e"
"286","purplish",286,"#94568c"
"287","ultramarine",287,"#2000b1"
"288","barney purple",288,"#a00498"
"289","forest",289,"#0b5509"
"290","pea soup",290,"#929901"
"291","brownish yellow",291,"#c9b003"
"292","bright teal",292,"#01f9c6"
"293","bluegreen",293,"#017a79"
"294","green brown",294,"#544e03"
"295","blurple",295,"#5539cc"
"296","light sky blue",296,"#c6fcff"
"297","periwinkle blue",297,"#8f99fb"
"298","pale violet",298,"#ceaefa"
"299","true blue",299,"#010fcc"
"300","green grey",300,"#77926f"
"301","grey brown",301,"#7f7053"
"302","dark olive green",302,"#3c4d03"
"303","apricot",303,"#ffb16d"
"304","faded purple",304,"#916e99"
"305","cerise",305,"#de0c62"
"306","khaki green",306,"#728639"
"307","burnt red",307,"#9f2305"
"308","light forest green",308,"#4f9153"
"309","violet blue",309,"#510ac9"
"310","pale lavender",310,"#eecffe"
"311","acid green",311,"#8ffe09"
"312","purple grey",312,"#866f85"
"313","lemon",313,"#fdff52"
"314","bright orange",314,"#ff5b00"
"315","soft green",315,"#6fc276"
"316","blush",316,"#f29e8e"
"317","yellowish brown",317,"#9b7a01"
"318","fluorescent green",318,"#08ff08"
"319","electric purple",319,"#aa23ff"
"320","steel",320,"#738595"
"321","dull orange",321,"#d8863b"
"322","muddy green",322,"#657432"
"323","marigold",323,"#fcc006"
"324","ocean",324,"#017b92"
"325","light mauve",325,"#c292a1"
"326","bordeaux",326,"#7b002c"
"327","light blue green",327,"#7efbb3"
"328","yellowish",328,"#faee66"
"329","snot green",329,"#9dc100"
"330","light lime green",330,"#b9ff66"
"331","drab green",331,"#749551"
"332","faded blue",332,"#658cbb"
"333","dark forest green",333,"#002d04"
"334","hot purple",334,"#cb00f5"
"335","dark maroon",335,"#3c0008"
"336","brown green",336,"#706c11"
"337","swamp green",337,"#748500"
"338","light indigo",338,"#6d5acf"
"339","purpley blue",339,"#5f34e7"
"340","lightish blue",340,"#3d7afd"
"341","teal blue",341,"#01889f"
"342","denim blue",342,"#3b5b92"
"343","dark lime green",343,"#7ebd01"
"344","dull yellow",344,"#eedc5b"
"345","pistachio",345,"#c0fa8b"
"346","lemon yellow",346,"#fdff38"
"347","red violet",347,"#9e0168"
"348","dusky pink",348,"#cc7a8b"
"349","dirt",349,"#8a6e45"
"350","very dark green",350,"#062e03"
"351","medium purple",351,"#9e43a2"
"352","shit",352,"#7f5f00"
"353","dark mustard",353,"#a88905"
"354","pea soup green",354,"#94a617"
"355","bubblegum pink",355,"#fe83cc"
"356","barbie pink",356,"#fe46a5"
"357","military green",357,"#667c3e"
"358","pale teal",358,"#82cbb2"
"359","bronze",359,"#a87900"
"360","pinky red",360,"#fc2647"
"361","dull red",361,"#bb3f3f"
"362","darkish blue",362,"#014182"
"363","bluish",363,"#2976bb"
"364","dark gold",364,"#b59410"
"365","yellowy green",365,"#bff128"
"366","pine",366,"#2b5d34"
"367","dark blue green",367,"#005249"
"368","dirty pink",368,"#ca7b80"
"369","slate green",369,"#658d6d"
"370","prussian blue",370,"#004577"
"371","bright violet",371,"#ad0afd"
"372","lighter purple",372,"#a55af4"
"373","steel grey",373,"#6f828a"
"374","russet",374,"#a13905"
"375","vermillion",375,"#f4320c"
"376","greyish brown",376,"#7a6a4f"
"377","red purple",377,"#820747"
"378","red pink",378,"#fa2a55"
"379","bright turquoise",379,"#0ffef9"
"380","golden brown",380,"#b27a01"
"381","cerulean blue",381,"#056eee"
"382","soft blue",382,"#6488ea"
"383","easter green",383,"#8cfd7e"
"384","amber",384,"#feb308"
"385","mid blue",385,"#276ab3"
"386","shit brown",386,"#7b5804"
"387","hospital green",387,"#9be5aa"
"388","purpleish blue",388,"#6140ef"
"389","purply blue",389,"#661aee"
"390","silver",390,"#c5c9c7"
"391","sickly green",391,"#94b21c"
"392","melon",392,"#ff7855"
"393","dusky rose",393,"#ba6873"
"394","brown orange",394,"#b96902"
"395","darkish green",395,"#287c37"
"396","cranberry",396,"#9e003a"
"397","purpleish",397,"#98568d"
"398","ecru",398,"#feffca"
"399","mocha",399,"#9d7651"
"400","bright magenta",400,"#ff08e8"
"401","coffee",401,"#a6814c"
"402","sepia",402,"#985e2b"
"403","faded red",403,"#d3494e"
"404","canary yellow",404,"#fffe40"
"405","bluey purple",405,"#6241c7"
"406","pastel yellow",406,"#fffe71"
"407","pale turquoise",407,"#a5fbd5"
"408","greyish pink",408,"#c88d94"
"409","marine",409,"#042e60"
"410","purplish grey",410,"#7a687f"
"411","camel",411,"#c69f59"
"412","brownish grey",412,"#86775f"
"413","burnt yellow",413,"#d5ab09"
"414","cherry red",414,"#f7022a"
"415","orangey brown",415,"#b16002"
"416","soft pink",416,"#fdb0c0"
"417","dark sea green",417,"#11875d"
"418","aqua marine",418,"#2ee8bb"
"419","robin egg blue",419,"#8af1fe"
"420","light sea green",420,"#98f6b0"
"421","mud brown",421,"#60460f"
"422","sandstone",422,"#c9ae74"
"423","british racing green",423,"#05480d"
"424","faded pink",424,"#de9dac"
"425","maize",425,"#f4d054"
"426","ocre",426,"#c69c04"
"427","orange yellow",427,"#ffad01"
"428","dark khaki",428,"#9b8f55"
"429","light lime",429,"#aefd6c"
"430","bright light blue",430,"#26f7fd"
"431","jade green",431,"#2baf6a"
"432","barney",432,"#ac1db8"
"433","adobe",433,"#bd6c48"
"434","minty green",434,"#0bf77d"
"435","light navy blue",435,"#2e5a88"
"436","dusty green",436,"#76a973"
"437","very dark blue",437,"#000133"
"438","ocean green",438,"#3d9973"
"439","mustard green",439,"#a8b504"
"440","poop brown",440,"#7a5901"
"441","olive brown",441,"#645403"
"442","pink red",442,"#f5054f"
"443","light navy",443,"#155084"
"444","very light purple",444,"#f6cefc"
"445","ivory",445,"#ffffcb"
"446","bright lavender",446,"#c760ff"
"447","bright aqua",447,"#0bf9ea"
"448","robin's egg",448,"#6dedfd"
"449","muted green",449,"#5fa052"
"450","medium brown",450,"#7f5112"
"451","copper",451,"#b66325"
"452","dark lime",452,"#84b701"
"453","strawberry",453,"#fb2943"
"454","dirt brown",454,"#836539"
"455","celery",455,"#c1fd95"
"456","bright sky blue",456,"#02ccfe"
"457","poo brown",457,"#885f01"
"458","pinkish brown",458,"#b17261"
"459","celadon",459,"#befdb7"
"460","bright lime green",460,"#65fe08"
"461","auburn",461,"#9a3001"
"462","shocking pink",462,"#fe02a2"
"463","mulberry",463,"#920a4e"
"464","carolina blue",464,"#8ab8fe"
"465","lightish green",465,"#61e160"
"466","light lilac",466,"#edc8ff"
"467","pale olive",467,"#b9cc81"
"468","pumpkin orange",468,"#fb7d07"
"469","yellow ochre",469,"#cb9d06"
"470","fire engine red",470,"#fe0002"
"471","deep sky blue",471,"#0d75f8"
"472","watermelon",472,"#fd4659"
"473","bottle green",473,"#044a05"
"474","very dark purple",474,"#2a0134"
"475","wheat",475,"#fbdd7e"
"476","murky green",476,"#6c7a0e"
"477","brownish purple",477,"#76424e"
"478","kermit green",478,"#5cb200"
"479","primary blue",479,"#0804f9"
"480","orangey red",480,"#fa4224"
"481","pale lilac",481,"#e4cbff"
